country,district,year,temperature in (K)
Serbia,Kolubarski okrug,1999,285.29700978597003
Serbia,Branicevski okrug,1999,283.99910736083984
Serbia,Sumadijski okrug,1999,284.3287124633789
Serbia,Juznobanatski okrug,1999,284.96825408935547
Serbia,Juznobacki okrug,1999,284.9005419413249
Serbia,Severnobacki okrug,1999,284.42567443847656
Serbia,Pcinjski okrug,1999,282.2266553243001
Serbia,Zlatiborski okrug,1999,282.34424591064453
Serbia,Kosovski okrug,1999,283.47994740804035
Serbia,Toplicki okrug,1999,282.9822311401367
Serbia,Rasinski okrug,1999,283.7675043741862
Serbia,Prizrenski okrug,1999,283.0070966084798
Serbia,Zajecarski,1999,283.8847300211589
Serbia,Sremski,2000,286.46411514282227
Serbia,Moravicki okrug,2000,282.1983998616536
Serbia,Nisavski okrug,2000,284.72265879313153
Serbia,Jablanicki okrug,2000,284.6969223022461
Serbia,Raski okrug,2000,283.0170262654622
Serbia,Srednjebanatski okrug,2000,286.2737350463867
Serbia,Borski okrug,2000,284.0187505086263
Serbia,Grad Beograd,2000,286.1015370686849
Serbia,Pomoravski okrug,2000,284.930913289388
Serbia,Severnobanatski okrug,2000,286.1307627360026
Serbia,Kosovskomitrovicki okrug,2000,282.2166442871094
Serbia,Macvanski okrug,2000,286.1557388305664
Serbia,Pirotski okrug,2000,282.6832733154297
Serbia,Kolubarski okrug,2000,286.78382110595703
Serbia,Branicevski okrug,2000,285.01685333251953
Serbia,Sumadijski okrug,2000,285.4965642293294
Serbia,Juznobanatski okrug,2000,286.20562744140625
Serbia,Juznobacki okrug,2000,286.44898478190106
Serbia,Severnobacki okrug,2000,286.1337610880534
Serbia,Pcinjski okrug,2000,282.46862920125324
Serbia,Zlatiborski okrug,2000,283.2462730407715
Serbia,Kosovski okrug,2000,283.72461954752606
Serbia,Toplicki okrug,2000,283.4545084635417
Serbia,Rasinski okrug,2000,284.5597152709961
Serbia,Prizrenski okrug,2000,283.1519470214844
Serbia,Zajecarski,2000,284.5510559082031
Serbia,Sremski,2001,285.01275126139325
